location_id,location_name,district,state,timestamp,rainfall_24h,rainfall_cumulative_3d,rainfall_intensity_trend,soil_moisture_pct,temperature_c,humidity_pct,seismic_activity,slope_angle,elevation,latitude,longitude,risk_score,risk_category
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-12 19:57:09,27.88,69.69,0.394,40.73,21.8,76.0,0.03,34.5,1525,25.5788,91.8933,29.85,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-13 19:57:09,11.94,29.84,0.387,38.68,20.4,68.8,0.26,34.5,1525,25.5788,91.8933,24.43,Low
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-14 19:57:09,1.76,41.58,0.041,35.71,22.2,67.6,0.28,34.5,1525,25.5788,91.8933,24.62,Low
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-15 19:57:09,127.64,141.34,0.897,67.62,18.3,88.2,0.04,34.5,1525,25.5788,91.8933,58.12,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-16 19:57:09,93.54,222.94,0.418,91.0,22.5,92.9,0.29,34.5,1525,25.5788,91.8933,59.57,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-17 19:57:09,155.07,376.25,0.411,98.0,23.2,93.1,0.33,34.5,1525,25.5788,91.8933,72.65,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-18 19:57:09,6.89,255.5,0.027,95.06,21.6,88.7,0.12,34.5,1525,25.5788,91.8933,57.76,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-19 19:57:09,25.13,187.09,0.134,93.3,19.0,94.0,0.15,34.5,1525,25.5788,91.8933,53.26,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-20 19:57:09,27.35,59.37,0.453,89.46,21.3,92.4,0.29,34.5,1525,25.5788,91.8933,43.79,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-21 19:57:09,34.66,87.14,0.393,98.0,23.3,95.7,0.27,34.5,1525,25.5788,91.8933,52.16,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-22 19:57:09,6.21,68.22,0.09,95.93,17.6,91.7,0.08,34.5,1525,25.5788,91.8933,43.65,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-23 19:57:09,7.01,47.88,0.143,93.64,21.3,91.7,0.18,34.5,1525,25.5788,91.8933,41.61,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-24 19:57:09,26.03,39.25,0.647,90.74,19.0,92.6,0.16,34.5,1525,25.5788,91.8933,46.85,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-25 19:57:09,74.84,107.88,0.687,98.0,20.4,90.2,0.04,34.5,1525,25.5788,91.8933,53.81,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-26 19:57:09,6.34,107.21,0.059,95.44,17.8,92.2,0.21,34.5,1525,25.5788,91.8933,42.31,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-27 19:57:09,6.89,88.07,0.077,93.92,21.7,94.7,0.11,34.5,1525,25.5788,91.8933,43.44,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-28 19:57:09,0.89,14.12,0.059,91.33,20.1,96.5,0.11,34.5,1525,25.5788,91.8933,36.72,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-29 19:57:09,150.08,157.86,0.945,98.0,18.4,98.4,0.12,34.5,1525,25.5788,91.8933,72.03,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-06-30 19:57:09,169.45,320.42,0.527,98.0,21.0,90.8,0.22,34.5,1525,25.5788,91.8933,71.99,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-01 19:57:09,189.01,508.54,0.371,98.0,20.6,89.3,0.01,34.5,1525,25.5788,91.8933,69.02,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-02 19:57:09,7.03,365.49,0.019,94.42,19.2,88.6,0.38,34.5,1525,25.5788,91.8933,59.68,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-03 19:57:09,41.59,237.63,0.174,98.0,17.8,96.9,0.05,34.5,1525,25.5788,91.8933,57.33,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-04 19:57:09,4.4,53.02,0.081,95.84,22.6,92.8,0.22,34.5,1525,25.5788,91.8933,44.11,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-05 19:57:09,1.61,47.6,0.033,93.56,23.3,94.2,0.21,34.5,1525,25.5788,91.8933,38.64,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-06 19:57:09,24.61,30.62,0.778,91.21,20.9,89.2,0.03,34.5,1525,25.5788,91.8933,45.76,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-07 19:57:09,1.83,28.05,0.063,87.45,22.5,86.3,0.27,34.5,1525,25.5788,91.8933,38.61,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-08 19:57:09,18.6,45.04,0.404,83.61,20.8,89.0,0.32,34.5,1525,25.5788,91.8933,37.33,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-09 19:57:09,16.3,36.73,0.432,81.03,19.9,88.0,0.27,34.5,1525,25.5788,91.8933,39.6,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-10 19:57:09,0.79,35.69,0.021,78.53,19.4,91.1,0.08,34.5,1525,25.5788,91.8933,33.01,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-11 19:57:09,37.42,54.51,0.674,87.88,19.0,88.3,0.18,34.5,1525,25.5788,91.8933,46.33,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-12 19:57:09,4.4,42.61,0.101,86.26,23.4,93.5,0.37,34.5,1525,25.5788,91.8933,37.39,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-13 19:57:09,198.82,240.64,0.823,98.0,18.4,94.2,0.16,34.5,1525,25.5788,91.8933,78.83,Critical
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-14 19:57:09,88.21,291.43,0.302,98.0,19.6,99.2,0.31,34.5,1525,25.5788,91.8933,65.48,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-15 19:57:09,143.7,430.73,0.333,98.0,19.9,98.9,0.22,34.5,1525,25.5788,91.8933,69.05,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-16 19:57:09,1.24,233.15,0.005,95.76,23.2,94.3,0.3,34.5,1525,25.5788,91.8933,54.74,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-17 19:57:09,47.97,192.91,0.247,98.0,20.4,97.8,0.38,34.5,1525,25.5788,91.8933,53.58,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-18 19:57:09,22.08,71.29,0.305,95.01,21.4,90.6,0.36,34.5,1525,25.5788,91.8933,46.93,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-19 19:57:09,48.64,118.69,0.406,98.0,21.1,93.5,0.21,34.5,1525,25.5788,91.8933,48.94,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-20 19:57:09,1.63,72.35,0.022,94.71,18.8,92.1,0.12,34.5,1525,25.5788,91.8933,40.63,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-21 19:57:09,58.87,109.14,0.535,98.0,17.8,93.9,0.4,34.5,1525,25.5788,91.8933,56.4,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-22 19:57:09,23.86,84.36,0.279,95.84,23.0,97.4,0.15,34.5,1525,25.5788,91.8933,49.23,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-23 19:57:09,64.19,146.92,0.434,98.0,21.6,95.4,0.26,34.5,1525,25.5788,91.8933,57.57,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-24 19:57:09,63.11,151.16,0.415,98.0,19.2,95.9,0.05,34.5,1525,25.5788,91.8933,56.59,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-25 19:57:09,16.96,144.26,0.117,95.12,19.0,94.3,0.08,34.5,1525,25.5788,91.8933,48.51,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-26 19:57:09,2.11,82.18,0.025,92.4,22.8,95.8,0.17,34.5,1525,25.5788,91.8933,39.66,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-27 19:57:09,118.74,137.81,0.855,98.0,17.4,97.0,0.1,34.5,1525,25.5788,91.8933,64.4,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-28 19:57:09,183.77,304.62,0.601,98.0,20.7,93.6,1.98,34.5,1525,25.5788,91.8933,77.88,Critical
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-29 19:57:09,203.63,506.14,0.402,98.0,22.8,94.8,0.23,34.5,1525,25.5788,91.8933,75.67,Critical
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-30 19:57:09,18.28,405.68,0.045,95.73,22.8,96.5,0.36,34.5,1525,25.5788,91.8933,58.65,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-07-31 19:57:09,26.22,248.13,0.105,93.97,22.1,96.7,0.25,34.5,1525,25.5788,91.8933,50.54,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-08-01 19:57:09,70.44,114.94,0.608,98.0,22.6,99.1,0.35,34.5,1525,25.5788,91.8933,58.83,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-08-02 19:57:09,57.88,154.54,0.372,98.0,19.4,98.6,0.35,34.5,1525,25.5788,91.8933,55.42,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-08-03 19:57:09,2.13,130.45,0.016,94.53,18.0,96.8,0.09,34.5,1525,25.5788,91.8933,45.1,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-08-04 19:57:09,3.68,63.69,0.057,92.27,22.1,89.6,2.26,34.5,1525,25.5788,91.8933,49.05,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-08-05 19:57:09,66.18,71.99,0.907,98.0,23.2,92.1,0.16,34.5,1525,25.5788,91.8933,60.8,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-08-06 19:57:09,4.29,74.15,0.057,94.15,18.1,97.7,0.39,34.5,1525,25.5788,91.8933,46.65,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-08-07 19:57:09,17.05,87.52,0.193,91.57,21.7,90.2,0.2,34.5,1525,25.5788,91.8933,42.64,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-08-08 19:57:09,47.48,68.82,0.68,98.0,18.9,96.4,4.02,34.5,1525,25.5788,91.8933,65.05,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-08-09 19:57:09,5.76,70.29,0.081,94.65,21.4,91.8,0.27,34.5,1525,25.5788,91.8933,45.2,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-08-10 19:57:09,126.23,179.47,0.699,98.0,19.3,97.8,0.12,34.5,1525,25.5788,91.8933,69.93,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-08-11 19:57:09,123.3,255.29,0.481,98.0,19.8,93.3,0.05,34.5,1525,25.5788,91.8933,67.56,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-08-12 19:57:09,138.86,388.39,0.357,98.0,23.0,96.1,0.25,34.5,1525,25.5788,91.8933,71.02,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-08-13 19:57:09,45.62,307.78,0.148,98.0,17.4,92.2,0.23,34.5,1525,25.5788,91.8933,58.8,High
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-08-14 19:57:09,3.72,188.2,0.02,95.39,18.7,93.1,0.32,34.5,1525,25.5788,91.8933,47.52,Moderate
1,Shillong Peak,East Khasi Hills,Meghalaya,2026-08-15 19:57:09,15.51,64.85,0.236,92.61,21.2,90.8,0.3,34.5,1525,25.5788,91.8933,46.11,Moderate
